publish,ID,type_01,@icon,@icon_bg,@divider,initiative,name,variant,cd_duration,@effect_01,@effect_02,major,@spending_icon_01,spending_text_01,@spending_icon_02,spending_text_02,@spending_icon_03,spending_text_03,minor
x,a14,Attack,/images/doubletrouble-icon.png,/images/doubletrouble-icon-bg.png,/images/alphavariant-divider.png,5,Double Trouble,Alpha Variant,3,,,Perform a separate attack with two of your equipped weapons.    You may only use the spending options on the first attack.,/images/plus-icon.png,Cooldown -1.,/images/plus-icon.png,Cooldown -1.,,,"Attack, add (Cursed Die).  Attack, add (Cursed Die) (Cursed Die) (with your other equipped weapon)."
x,a15,Attack,/images/doubletrouble-icon.png,/images/doubletrouble-icon-bg.png,/images/betavariant-divider.png,4,Double Trouble,Beta Variant,3,,,"Perform a separate attack with two of your equipped weapons.    You may use the spending options on either attack, but not on both.",/images/plus-icon.png,Cause Cripple.,/images/plus-icon.png,Cause Bleed (2).,,,Move (2)  Attack
x,a16,Attack,/images/exploit-icon.png,/images/exploit-icon-bg.png,/images/basicvariant-divider.png,3,Exploit,Basic Variant,2,,,Attack  Add (Enhancement Die) for each ongoing effect token on the target.,/images/plus-icon.png,Remove one ongoing effect from the target to add +2 Power.,,,,,Move (1)  Attack
x,a17,Attack,/images/exploit-icon.png,/images/exploit-icon-bg.png,/images/alphavariant-divider.png,3,Exploit,Alpha Variant,2,,,Attack  Add (Enhancement Die) for each ongoing effect token on the target.,/images/star-icon.png,Cooldown -2.,/images/plus-icon.png,Cause Bleed (2).,/images/plus-icon.png,Remove one ongoing effect from the target to add +2 Power.,Move (1)  Attack
x,a18,Attack,/images/exploit-icon.png,/images/exploit-icon-bg.png,/images/betavariant-divider.png,3,Exploit,Beta Variant,2,,,Attack  Add (Power Die) if the target has at least two ongoing effect tokens.,/images/plus-icon.png,Remove one ongoing effect from the target to add +2 Power.,,,,,Move (1)  Attack
x,a19,Attack,/images/flashofstrikes-icon.png,/images/flashofstrikes-icon-bg.png,/images/basicvariant-divider.png,3,Flash Of Strikes,Basic Variant,3,,,"Move (2), then attack.    You can repeat this two more times, but you take a scratch with each repetition.",,,,,,,"Move (2)  Attack, add (Cursed Die)."
x,a20,Attack,/images/flashofstrikes-icon.png,/images/flashofstrikes-icon-bg.png,/images/alphavariant-divider.png,4,Flash Of Strikes,Alpha Variant,3,,,"Move (2), then attack.    You can repeat this three more times, but you take a scratch with each repetition.",,,,,,,"Move (2)  Attack, add (Cursed Die)."
x,a21,Attack,/images/flashofstrikes-icon.png,/images/flashofstrikes-icon-bg.png,/images/betavariant-divider.png,5,Flash Of Strikes,Beta Variant,3,,,"Move (2), then attack, then Move (1) (gain Slippery).    You can repeat this two more times, but you have to put a hand card on cooldown 2 with each repetition.",,,,,,,"Move (2)  Attack, add (Cursed Die)."
x,a22,Attack,/images/barrage-icon.png,/images/barrage-icon-bg.png,/images/basicvariant-divider.png,4,Barrage,Basic Variant,4,,,"Attack, add (Enhancement Die).",/images/star-icon.png,Perform a free attack against the same enemy.,/images/doubleplus-icon.png,Perform a free attack against the same enemy.,,,"Move (1)  Attack, add (Blessing Die)."
x,a23,Attack,/images/barrage-icon.png,/images/barrage-icon-bg.png,/images/alphavariant-divider.png,2,Barrage,Alpha Variant,1,,,"Attack, add (Standard Die).  You can repeat this attack two more times, but increase the cooldown of this ability by +2 for each additional attack.",/images/star-icon.png,Cooldown -1.,,,,,"Move (1)  Attack, add (Blessing Die)."
x,a24,Attack,/images/barrage-icon.png,/images/barrage-icon-bg.png,/images/betavariant-divider.png,5,Barrage,Beta Variant,3,,,"Attack, add (Enhancement Die).",/images/doubleplus-icon.png,Perform a free attack against the same enemy.,/images/plus-icon.png,Perform a free attack against the same enemy.,,,"Move (1)  Attack, add (Blessing Die)."
x,a25,Attack,/images/forcefulattack-icon.png,/images/forcefulattack-icon-bg.png,/images/basicvariant-divider.png,3,Forceful Attack,Basic Variant,4,,,"Attack, add (Power Die).    Double any wear suffered from this attack.",/images/star-icon.png,+3 Power.,/images/plus-icon.png,+2 Power.,,,"Attack, add (Blessing Die)."
x,a26,Attack,/images/forcefulattack-icon.png,/images/forcefulattack-icon-bg.png,/images/alphavariant-divider.png,3,Forceful Attack,Alpha Variant,4,,,"Attack, add (Enhancement Die) (Enhancement Die).    Double any wear suffered from this attack.",/images/star-icon.png,+3 Power.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Ignore all botched results.,"Attack, add (Blessing Die)."
x,a27,Attack,/images/forcefulattack-icon.png,/images/forcefulattack-icon-bg.png,/images/betavariant-divider.png,5,Forceful Attack,Beta Variant,4,,,"Attack, add (Power Die).    Then suffer a scratch.",/images/star-icon.png,+3 Power.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Cause Knockback (2) or Stun.,"Attack, add (Blessing Die)."
x,a28,Attack,/images/intimidatingassault-icon.png,/images/intimidatingassault-icon-bg.png,/images/basicvariant-divider.png,4,Intimidating Assault,Basic Variant,3,,,"Attack, add (Blessing Die) (Blessing Die).    If the target suffers at least one wound, you may move it once according to its current speed.",/images/plus-icon.png,Move (2) after resolving the attack.,/images/plus-icon.png,+1 Power.,,,Attack  Cause Knockback (1) against any one adjacent model.
x,a29,Attack,/images/intimidatingassault-icon.png,/images/intimidatingassault-icon-bg.png,/images/alphavariant-divider.png,6,Intimidating Assault,Alpha Variant,3,,,"Attack, add (Blessing Die) (Blessing Die).    If the target suffers at least one wound, you may move it once according to its current speed.",/images/plus-icon.png,Move (2) after resolving the attack.,/images/plus-icon.png,Cause Knockback (2).,/images/plus-icon.png,+2 Power.,Attack  Cause Knockback (1) against any one adjacent model.
x,a30,Attack,/images/intimidatingassault-icon.png,/images/intimidatingassault-icon-bg.png,/images/betavariant-divider.png,4,Intimidating Assault,Beta Variant,4,,,"Attack, add (Blessing Die) (Blessing Die).    If the target suffers at least one wound, you may move it once according to its current speed.",/images/doubleplus-icon.png,Immediately repeat this attack (but must be against a different target).,/images/plus-icon.png,+2 Power.,,,Attack  Cause Knockback (1) against any one adjacent model.
x,a31,Attack,/images/puncture-icon.png,/images/puncture-icon-bg.png,/images/basicvariant-divider.png,3,Puncture,Basic Variant,2,,,"Attack, add (Enhancement Die).",/images/plus-icon.png,+1 Power.,/images/plus-icon.png,Cause Weaken.,,,Move (1)  Attack
x,a32,Attack,/images/puncture-icon.png,/images/puncture-icon-bg.png,/images/alphavariant-divider.png,3,Puncture,Alpha Variant,2,,,"Attack, add (Enhancement Die).",/images/star-icon.png,Additionally hit a second enemy adjacent to the first target.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Cause Weaken.,Move (1)  Attack
x,a33,Attack,/images/puncture-icon.png,/images/puncture-icon-bg.png,/images/betavariant-divider.png,5,Puncture,Beta Variant,2,,,"Attack, add (Enhancement Die).",/images/doubleplus-icon.png,"Place this like an ongoing effect with a duration of 3. While it lasts, the target suffers from Weaken.",/images/plus-icon.png,Cause Weaken.,,,Move (1)  Attack
x,a34,Attack,/images/simplestrike-icon.png,/images/simplestrike-icon-bg.png,/images/basicvariant-divider.png,4,Simple Strike,Basic Variant,1,,,"Attack, add (Blessing Die).",/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Treat botched results as +1 Power instead.,,,Attack  Move (1)
x,a35,Attack,/images/simplestrike-icon.png,/images/simplestrike-icon-bg.png,/images/alphavariant-divider.png,4,Simple Strike,Alpha Variant,1,,,"Attack, add (Blessing Die).",/images/plus-icon.png,"Increase the cooldown by +2, but reduce one of your other cooldowns by 2.",/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Treat botched results as +1 Power instead.,Attack  Move (1)
x,a36,Attack,/images/simplestrike-icon.png,/images/simplestrike-icon-bg.png,/images/betavariant-divider.png,5,Simple Strike,Beta Variant,1,,,"Attack, add (Blessing Die).",/images/plus-icon.png,Cooldown -1.,/images/plus-icon.png,+2 Power.,/images/plus-icon.png,Treat botched results as +1 Power instead.,Attack  Move (1)
x,a37,Attack,/images/thelaststraw-icon.png,/images/thelaststraw-icon-bg.png,/images/basicvariant-divider.png,1,The Last Straw,Basic Variant,5,,,"Attack, add (Power Die) (Power Die).    After the attack, the used weapon suffers wear.",/images/star-icon.png,Deal a wound.,/images/doubleplus-icon.png,Deal a wound.,/images/plus-icon.png,+3 Power.,"Suffer one scratch. If you do:  Attack, add (Power Die)."
x,a38,Attack,/images/thelaststraw-icon.png,/images/thelaststraw-icon-bg.png,/images/alphavariant-divider.png,1,The Last Straw,Alpha Variant,5,,,"Attack, add (Enhancement Die).    Then you suffer two scratches.",/images/doubleplus-icon.png,Roll (Power Die) (Power Die). Take the higher result between the two dice and deal that as wounds.,,,,,"Suffer one scratch. If you do:  Attack, add (Power Die)."
x,a39,Attack,/images/thelaststraw-icon.png,/images/thelaststraw-icon-bg.png,/images/betavariant-divider.png,1,The Last Straw,Beta Variant,5,,,"Attack, add (Power Die) (Power Die).    After the attack, the used weapon suffers wear.",/images/star-icon.png,Cooldown -4.,/images/doubleplus-icon.png,Deal a wound.,/images/plus-icon.png,+3 Power.,"Suffer one scratch. If you do:  Attack, add (Power Die)."
x,a40,Attack,/images/wageringstrike-icon.png,/images/wageringstrike-icon-bg.png,/images/basicvariant-divider.png,2,Wagering Strike,Basic Variant,2,,,"Attack, add (Standard Die) (Standard Die).",/images/star-icon.png,+4 Power.,/images/plus-icon.png,Cooldown -1.,,,"Attack, add (Standard Die)."
x,a41,Attack,/images/wageringstrike-icon.png,/images/wageringstrike-icon-bg.png,/images/alphavariant-divider.png,2,Wagering Strike,Alpha Variant,2,,,"Attack, add (Standard Die) (Standard Die) (Standard Die).",/images/star-icon.png,+4 Power.,/images/plus-icon.png,Cooldown -1.,/images/plus-icon.png,Cooldown -1.,"Attack, add (Standard Die)."
x,a42,Attack,/images/wageringstrike-icon.png,/images/wageringstrike-icon-bg.png,/images/betavariant-divider.png,3,Wagering Strike,Beta Variant,2,,,"Attack, add (Standard Die) (Standard Die) (Power Die)  If you don't deal a wound with this attack, put a hand card on cooldown 5.",/images/star-icon.png,+4 Power.,/images/plus-icon.png,Cooldown -1.,,,"Attack, add (Standard Die)."
x,a43,Attack,/images/weapondrill-icon.png,/images/weapondrill-icon-bg.png,/images/basicvariant-divider.png,3,Weapon Drill,Basic Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Once during your turn (including the turn that you play this), choose one of the following effects:  • Move (2).  • Attack, add (Cursed Die).  • Spend (Star) on an attack to remove one 'Wear' token from your weapon.",,,,,,,"Attack, add (Blessing Die).  Move (2)"
x,a44,Attack,/images/weapondrill-icon.png,/images/weapondrill-icon-bg.png,/images/alphavariant-divider.png,3,Weapon Drill,Alpha Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Once during your turn (including the turn that you play this), choose one of the following effects:  • Move (2).  • Attack, add (Cursed Die).  • Spend (Star) on an attack to remove one 'Wear' token from your weapon.  • Extend the duration of this effect by +2.",,,,,,,"Attack, add (Blessing Die).  Move (2)"
x,a45,Attack,/images/weapondrill-icon.png,/images/weapondrill-icon-bg.png,/images/betavariant-divider.png,3,Weapon Drill,Beta Variant,5,/images/ongoing-effect.png,,"##Ongoing(end_on)  Once during each round (including the round that you play this), choose one of the following effects:  • Move an adjacent enemy by 2.  • Reduce one of your cooldowns by 1.  • Add (Blessing Die) to your next roll this round.",,,,,,,"Attack, add (Blessing Die).  Move (2)"
x,a46,Attack,/images/whirlwind-icon.png,/images/whirlwind-icon-bg.png,/images/basicvariant-divider.png,5,Whirlwind,Basic Variant,5,,,"Attack, add (Enhancement Die).  Then attack with your other equipped weapon.    You may use the spending options on either attack, but not on both.",/images/plus-icon.png,Cooldown -1.,/images/plus-icon.png,Hit a second enemy within range.,,,"Move (1)  Attack, add (Cursed Die) (Cursed Die).  Attack, add (Cursed Die) (Cursed Die)."
x,a47,Attack,/images/whirlwind-icon.png,/images/whirlwind-icon-bg.png,/images/alphavariant-divider.png,2,Whirlwind,Alpha Variant,5,,,"Attack, add (Power Die).  Then attack with your other equipped weapon.    You may use the spending options on either attack, but not on both.    You may Move (2) (gain Slippery) at any time during this action.",/images/plus-icon.png,Cooldown -1.,/images/plus-icon.png,Hit a second enemy within range.,,,"Move (1)  Attack, add (Cursed Die) (Cursed Die).  Attack, add (Cursed Die) (Cursed Die)."
x,a48,Attack,/images/whirlwind-icon.png,/images/whirlwind-icon-bg.png,/images/betavariant-divider.png,5,Whirlwind,Beta Variant,4,,,"Attack once with each equipped weapon.    You can repeat this process up to two more times, but first you suffer Weaken (2), then Stun (2).",,,,,,,"Move (1)  Attack, add (Cursed Die) (Cursed Die).  Attack, add (Cursed Die) (Cursed Die)."
x,a49,Defense,/images/bind-icon.png,/images/bind-icon-bg.png,/images/basicvariant-divider.png,2,Bind,Basic Variant,2,/images/interrupt.png,,"##Interrupt(end_int)  If an adjacent enemy would move, you can prevent that movement and make yourself the target of their attack instead (if applicable).",,,,,,,Move (3) (gain Slippery)
x,a50,Defense,/images/bind-icon.png,/images/bind-icon-bg.png,/images/alphavariant-divider.png,4,Bind,Alpha Variant,2,/images/interrupt.png,,"##Interrupt(end_int)  If an adjacent enemy would move, you can prevent that movement, perform a melee attack against them and then make yourself the target of their attack instead (if applicable).",,,,,,,Move (3) (gain Slippery)
x,a51,Defense,/images/bind-icon.png,/images/bind-icon-bg.png,/images/betavariant-divider.png,2,Bind,Beta Variant,2,/images/interrupt.png,,"##Interrupt(end_int)  If an adjacent enemy would move, you can prevent that movement and make yourself the target of their attack instead (if applicable).  The below spending options can be used during that defense.",/images/star-icon.png,Cooldown -2.,/images/plus-icon.png,Cooldown -1.,,,Move (3) (gain Slippery)
x,a52,Defense,/images/block-icon.png,/images/block-icon-bg.png,/images/basicvariant-divider.png,1,Block,Basic Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 3 is about to defend, you may Move (2) (gain Slippery). If you move adjacent to them, they can use the benefits of your shield for their defense.",,,,,,,Move (4)
x,a53,Defense,/images/block-icon.png,/images/block-icon-bg.png,/images/alphavariant-divider.png,1,Block,Alpha Variant,2,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 4 is about to defend, you may Move (3) (gain Slippery & Nimble). If you move adjacent to them, they can use the benefits of your shield for their defense.",,,,,,,Move (4)
x,a54,Defense,/images/block-icon.png,/images/block-icon-bg.png,/images/betavariant-divider.png,5,Block,Beta Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  If an ally within range 2 would suffer a wound, you can prevent it by redirecting all overflowing scratches onto you. Against these scratches you may perform a separate defense roll.",,,,,,,Move (4)
x,a55,Defense,/images/dodge-icon.png,/images/dodge-icon-bg.png,/images/basicvariant-divider.png,4,Dodge,Basic Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  Before rolling defense dice against an attack, you can negate the attack by turning this card face down.",,,,,,,Move (2) (Gain Slippery and Nimble)
x,a56,Defense,/images/dodge-icon.png,/images/dodge-icon-bg.png,/images/alphavariant-divider.png,6,Dodge,Alpha Variant,4,/images/ongoing-effect.png,,"##Ongoing(end_on)  Before rolling defense dice against an attack, you can negate the attack by turning this card face down, then reducing its duration by 2.",,,,,,,Move (2) (Gain Slippery and Nimble)
x,a57,Defense,/images/dodge-icon.png,/images/dodge-icon-bg.png,/images/betavariant-divider.png,6,Dodge,Beta Variant,5,/images/interrupt.png,,"##Interrupt(end_int)  Move (2) in a straight or diagonal line (gain Slippery).  If you moved at least one square, add (Power Die) (Blessing Die) to your next defense roll this round.",,,,,,,Move (2) (Gain Slippery and Nimble)
x,a58,Defense,/images/irondefense-icon.png,/images/irondefense-icon-bg.png,/images/basicvariant-divider.png,1,Iron Defense,Basic Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  After a defense roll, you may add additional dice equal to what your armor provides and then determine the end result.",,,,,,,Move (1)  Attack
x,a59,Defense,/images/irondefense-icon.png,/images/irondefense-icon-bg.png,/images/alphavariant-divider.png,1,Iron Defense,Alpha Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  After a defense roll, you may add additional dice equal to what your armor provides and then determine the end result.    If you wear a shield, add another (Enhancement Die).",,,,,,,Move (1)  Attack
x,a60,Defense,/images/irondefense-icon.png,/images/irondefense-icon-bg.png,/images/betavariant-divider.png,2,Iron Defense,Beta Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  After a defense roll, you may add additional dice equal to what your armor provides and then determine the end result.    If you would only take the minimum amount of scratches (1), you also prevent that scratch.",,,,,,,Move (1)  Attack
x,a61,Defense,/images/riposte-icon.png,/images/riposte-icon-bg.png,/images/basicvariant-divider.png,6,Riposte,Basic Variant,2,/images/ongoing-effect.png,,"##Ongoing(end_on)  On a defense roll, you may add (Enhancement Die) (Blessing Die) (decide before rolling). If you don't take a wound during that defense, you may perform a free melee attack against the attacker. Then turn this effect face down.",,,,,,,"Attack, add (Blessing Die)."
x,a62,Defense,/images/riposte-icon.png,/images/riposte-icon-bg.png,/images/alphavariant-divider.png,3,Riposte,Alpha Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  On a defense roll, you may add (Power Die) (decide before rolling). If you don't take a wound during that defense, you may perform a free melee attack against the attacker, adding (Power Die). Then turn this effect face down.",,,,,,,"Attack, add (Blessing Die)."
x,a63,Defense,/images/riposte-icon.png,/images/riposte-icon-bg.png,/images/betavariant-divider.png,6,Riposte,Beta Variant,3,/images/interrupt.png,,"##Interrupt(end_int)  Add +1 Power to your current defense roll. If you don't take a wound during that defense, perform a free melee attack against the attacker.",/images/star-icon.png,Cooldown -1.,,,,,"Attack, add (Blessing Die)."
x,a64,Defense,/images/shieldwall-icon.png,/images/shieldwall-icon-bg.png,/images/basicvariant-divider.png,2,Shield Wall,Basic Variant,3,/images/interrupt.png,/images/ongoing-effect.png,"##Interrupt(end_int)  If an adjacent ally has to defend, you can perform the defense roll for them (using your dice pool and spending options). They still remain the target of the attack.  ##Ongoing(end_on)  Add (Blessing Die) to defense.  This bonus counts for you and all adjacent allies.",,,,,,,Move (2)  Cause Knockback (1) against any one adjacent model.
x,a65,Defense,/images/shieldwall-icon.png,/images/shieldwall-icon-bg.png,/images/alphavariant-divider.png,2,Shield Wall,Alpha Variant,4,/images/interrupt.png,/images/ongoing-effect.png,"##Interrupt(end_int)  If an ally within range 2 has to defend, you can perform the defense roll for them (using your dice pool and spending options). They still remain the target of the attack.  ##Ongoing(end_on)  Add (Enhancement Die) to defense.  This bonus counts for you and all adjacent allies.",,,,,,,Move (2)  Cause Knockback (1) against any one adjacent model.
x,a66,Defense,/images/shieldwall-icon.png,/images/shieldwall-icon-bg.png,/images/betavariant-divider.png,5,Shield Wall,Beta Variant,3,/images/ongoing-effect.png,,"##Ongoing(end_on)  Whenever you or an adjacent ally have to defend, you may grant (Power Die). Immediately reduce the duration of this effect by 1 if you do so.",,,,,,,Move (2)  Cause Knockback (1) against any one adjacent model.
x,a67,Melee,/images/assassinsstrike-icon.png,/images/assassinsstrike-icon-bg.png,/images/basicvariant-divider.png,6,Assassin's Strike,Basic Variant,5,,,"Move (2) (Gain Nimble and Slippery) in a straight or diagonal line.  Repeat this up to two more times.    Then perform one melee attack against each enemy you have moved over at least once, adding (Enhancement Die).",,,,,,,"Move (2) (gain Nimble)  Attack, add (Cursed Die)."
x,a68,Melee,/images/assassinsstrike-icon.png,/images/assassinsstrike-icon-bg.png,/images/alphavariant-divider.png,6,Assassin's Strike,Alpha Variant,2,,,"Move (2) (Gain Nimble and Slippery) in a straight or diagonal line.  You may repeat this movement, but increase the cooldown by +1 each time.    Then perform one melee attack against each enemy you have moved over at least once, adding (Enhancement Die).",,,,,,,"Move (2) (gain Nimble)  Attack, add (Cursed Die)."
x,a69,Melee,/images/assassinsstrike-icon.png,/images/assassinsstrike-icon-bg.png,/images/betavariant-divider.png,6,Assassin's Strike,Beta Variant,5,,,"Move (3) (Gain Nimble and Slippery) in a straight or diagonal line.  Repeat this up to two more times.    Then perform one melee attack against each enemy you have moved over at least once, adding (Enhancement Die).",,,,,,,"Move (2) (gain Nimble)  Attack, add (Cursed Die)."
x,a70,Melee,/images/backstab-icon.png,/images/backstab-icon-bg.png,/images/basicvariant-divider.png,4,Backstab,Basic Variant,4,,,"You may swap positions with an adjacent enemy.  In either case, melee attack that enemy, adding (Enhancement Die).",/images/plus-icon.png,+4 Power if there is an ally on the opposing square of the target.,/images/plus-icon.png,+2 Power.,,,"Move (2) (gain Slippery and Nimble)  Attack, add (Cursed Die)."
x,a71,Melee,/images/backstab-icon.png,/images/backstab-icon-bg.png,/images/alphavariant-divider.png,4,Backstab,Alpha Variant,3,,,"You may swap positions with an adjacent enemy.  In either case, melee attack that enemy, adding (Enhancement Die).",/images/plus-icon.png,+4 Power if there is an ally on the opposing square of the target.,/images/plus-icon.png,Move the enemy by 1 square.,/images/plus-icon.png,+2 Power.,"Move (2) (gain Slippery and Nimble)  Attack, add (Cursed Die)."
x,a72,Melee,/images/backstab-icon.png,/images/backstab-icon-bg.png,/images/betavariant-divider.png,6,Backstab,Beta Variant,4,,,"Melee attack, add (Enhancement Die).",/images/plus-icon.png,+3 Power if no ally is adjacent to you.,/images/plus-icon.png,+4 Power if there is an ally on the opposing square of the target.,/images/plus-icon.png,+2 Power.,"Move (2) (gain Slippery and Nimble)  Attack, add (Cursed Die)."
x,a73,Melee,/images/chargeattack-icon.png,/images/chargeattack-icon-bg.png,/images/basicvariant-divider.png,2,Charge Attack,Basic Variant,3,,,Move up to 6 squares in a straight or diagonal line.    Melee Attack,/images/plus-icon.png,+1 Power for each square moved.,,,,,"Move (3)  Attack, add (Cursed Die)."
x,a74,Melee,/images/chargeattack-icon.png,/images/chargeattack-icon-bg.png,/images/alphavariant-divider.png,2,Charge Attack,Alpha Variant,3,,,Move up to 8 squares in a straight or diagonal line.    Melee Attack,/images/plus-icon.png,Cause Stun.,/images/plus-icon.png,+1 Power for each square moved.,,,"Move (3)  Attack, add (Cursed Die)."
x,a75,Melee,/images/chargeattack-icon.png,/images/chargeattack-icon-bg.png,/images/betavariant-divider.png,2,Charge Attack,Beta Variant,4,,,Move up to 6 squares in a straight or diagonal line. You gain Nimble during that movement.    Melee Attack,/images/star-icon.png,Roll (Power Die) against each enemy you moved over (and deal the result as damage).,/images/plus-icon.png,+1 Power for each square moved.,,,"Move (3)  Attack, add (Cursed Die)."
x,a76,Melee,/images/combatmagesstrike-icon.png,/images/combatmagesstrike-icon-bg.png,/images/basicvariant-divider.png,3,Combat Mage's Strike,Basic Variant,3,,,Melee Attack    Additionally add your spellcasting bonus dice to this melee attack.,/images/plus-icon.png,Reduce the cooldown of one of your spells by 2.,/images/plus-icon.png,+2 Power.,,,Melee Attack  Add (Enhancement Die) to your next roll using your spellcasting dice pool this round.
x,a77,Melee,/images/combatmagesstrike-icon.png,/images/combatmagesstrike-icon-bg.png,/images/alphavariant-divider.png,4,Combat Mage's Strike,Alpha Variant,2,,,Melee Attack    Additionally add your spellcasting bonus dice to this melee attack.,/images/doubleplus-icon.png,End the cooldown of one of your spells.,/images/plus-icon.png,Reduce the cooldown of one of your spells by 2.,/images/plus-icon.png,+2 Power.,Melee Attack  Add (Enhancement Die) to your next roll using your spellcasting dice pool this round.
