publish,ID,@icon,@icon-bg,@cost-icon,name,abundance,@durability-icon,durability,price,type,@item-icon,type_1,type_2,type_3,Effect,@spending_icon_01,spending_text_01,@spending_icon_02,spending_text_02,@spending_icon_03,spending_text_03
x,si26,/images/astralgloves-icon.png,/images/astralgloves-icon-bg.png,/images/cost-soulshard-icon.png,Astral Gloves,1,/images/durability-3-icon.png,3,8,"Gear, Gloves, Magical",/images/gear.png,Gear,Gloves,Magical,"After casting a spell, you may put another spell from your hand on cooldown 5, then double the amount of wounds that spell causes (this also applies to all wounds a summoned minion would cause).",,,,,,
x,si27,/images/broochofsoothingwinds-icon.png,/images/broochofsoothingwinds-icon-bg.png,/images/cost-soulshard-icon.png,Brooch Of Soothing Winds,1,/images/durability-3-icon.png,3,5,"Gear, Magical",/images/gear.png,Gear,Magical,,"Once during your turn, you may spend 2 movement points to heal one scratch from an ally within range 2.",,,,,,
x,si28,/images/slateoffate-icon.png,/images/slateoffate-icon-bg.png,/images/cost-soulshard-icon.png,Slate Of Fate,1,/images/durability-0-icon.png,0,5,"Consumable, Immediate",/images/consumable.png,Consumable,Immediate,,"You may play one additional adventure (to a max. of 4 per tier) in the current tier or any of the previous ones.  Alternatively, you may re-attempt an adventure that your party has failed before - such an attempt also counts as a 4th adventure on the current tier.",,,,,,
x,si29,/images/scrollofresurrection-icon.png,/images/scrollofresurrection-icon-bg.png,/images/cost-soulshard-icon.png,Scroll Of Resurrection,1,/images/durability-0-icon.png,0,3,"Consumable, Immediate",/images/consumable.png,Consumable,Immediate,,Immediately get a vessel back that died during your last adventure. The original player who had it regains the perks that were already unlocked.,,,,,,
x,si30,/images/shieldofthetemplar-icon.png,/images/shieldofthetemplar-icon-bg.png,/images/cost-soulshard-icon.png,Shield Of The Templar,1,/images/durability-4-icon.png,4,7,"1H Weapon, Shield",/images/onehanded.png,1H Weapon,Shield,,Add (Blessing Die) (Blessing Die) to defense and spellcasting.    Add the below spending options to defense.,/images/doubleplus-icon.png,+3 Power.,/images/plus-icon.png,Reduce the cooldown of one of your cards with an interrupt effect by 1.,,
x,si31,/images/runeenchant-icon.png,/images/runeenchant-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Enchant,1,/images/durability-0-icon.png,0,2,"Rune, Weapon",/images/rune.png,Rune,Weapon,,Attach this to a tier 3 or lower weapon.    Convert a (Blessing Die) it adds into an (Enhancement Die).    Can only attach one rune per weapon.,,,,,,
x,si32,/images/runefuel-icon.png,/images/runefuel-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Fuel,1,/images/durability-0-icon.png,0,3,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, you may suffer 2 scratches to add (Power Die) (Blessing Die).    Can only attach one rune per weapon.",,,,,,
x,si33,/images/runedrain-icon.png,/images/runedrain-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Drain,1,/images/durability-0-icon.png,0,4,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When killing an enemy, heal one scratch from yourself.    Can only attach one rune per weapon.",,,,,,
x,si34,/images/runemark-icon.png,/images/runemark-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Mark,1,/images/durability-0-icon.png,0,3,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, you may spend (Star) to cause Weaken.    Can only attach one rune per weapon.",,,,,,
x,si35,/images/runefortune-icon.png,/images/runefortune-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Fortune,1,/images/durability-0-icon.png,0,3,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, you may convert one botch into (Star).    Can only attach one rune per weapon.",,,,,,
x,si36,/images/runefocus-icon.png,/images/runefocus-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Focus,1,/images/durability-0-icon.png,0,3,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, you may spend one (Star) to reduce one of your cooldowns by 2.    Can only attach one rune per weapon.",,,,,,
x,si37,/images/runevoid-icon.png,/images/runevoid-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Void,1,/images/durability-0-icon.png,0,4,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, count any rolled blanks as (Plus) instead.    Can only attach one rune per weapon.",,,,,,
x,si38,/images/runeholy-icon.png,/images/runeholy-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Holy,1,/images/durability-0-icon.png,0,3,"Rune, Weapon",/images/rune.png,Rune,Weapon,,"Attach this to a tier 3 or lower weapon.    When attacking, you may spend (Star) (Star) to heal 2 scratches from yourself. If you don't have any scratches, heal a wound instead.    Can only attach one rune per weapon.",,,,,,
x,si39,/images/runeadamant-icon.png,/images/runeadamant-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Adamant,1,/images/durability-0-icon.png,0,3,"Rune, Armor",/images/rune.png,Rune,Armor,,Attach this to an armor.    Add (Blessing Die) to defense.    Can only attach one rune per armor.,,,,,,
x,si40,/images/runestoic-icon.png,/images/runestoic-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Stoic,1,/images/durability-0-icon.png,0,3,"Rune, Armor",/images/rune.png,Rune,Armor,,Attach this to an armor.    You may spend (Plus) on defense to reduce the duration of a negative effect on you by 1.    Can only attach one rune per armor.,,,,,,
x,si41,/images/runerage-icon.png,/images/runerage-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Rage,1,/images/durability-0-icon.png,0,3,"Rune, Armor",/images/rune.png,Rune,Armor,,Attach this to an armor.    You may set aside a (Star) from a defense roll and add it to your next attack.    Can only attach one rune per armor.,,,,,,
x,si42,/images/runeprotection-icon.png,/images/runeprotection-icon-bg.png,/images/cost-soulshard-icon.png,Rune: Protection,1,/images/durability-0-icon.png,0,3,"Rune, Armor",/images/rune.png,Rune,Armor,,"Attach this to an armor.    If the armor adds only one die or less to defense, add (Enhancement Die) to its defense.    Can only attach one rune per armor.",,,,,,
